Timestamp,GPU Index,GPU Name,Utilization %,Memory Used (MiB),Memory Total (MiB)
2025-05-02 10:43:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:45:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:45:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:45:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:47:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:47:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:47:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:49:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:49:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:49:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:51:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:51:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:51:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:53:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:53:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:53:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:55:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:55:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:55:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:57:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:57:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:57:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:59:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:59:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:59:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:01:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:01:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:01:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:03:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:03:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:03:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:05:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:05:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:05:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:07:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:07:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:07:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:09:46,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:09:46,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:09:46,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:11:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:11:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:11:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:13:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:13:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:13:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:15:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:15:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:15:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:17:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:17:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:17:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:19:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:19:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:19:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:21:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:21:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:21:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:23:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:23:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:23:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:25:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:25:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:25:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:27:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:27:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:27:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:29:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:29:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:29:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:31:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:31:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:31:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:33:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:33:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:33:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:35:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:35:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:35:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:37:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:37:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:37:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:39:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:39:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:39:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:41:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:41:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:41:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:43:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:43:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:43:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:45:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:45:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:45:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:47:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:47:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:47:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:49:47,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:49:47,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:49:47,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:51:48,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:51:48,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:51:48,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 11:53:48,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 11:53:48,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 11:53:48,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
